Year,RoundNumber,QualyPos,GridPosition,RacePos,Points,Laps,Q1_seconds,Q2_seconds,Q3_seconds,Team_Alpine,Team_Aston Martin,Team_Ferrari,Team_Haas F1 Team,Team_Kick Sauber,Team_McLaren,Team_Mercedes,Team_RB,Team_Red Bull Racing,Team_Williams,FinishedRace,IsRaceWinner,IsPodium,driver_avg_points_last_3,driver_avg_finish_pos_last_3,driver_avg_qualy_pos_last_3,driver_championship_points_before_race,driver_total_dnfs_season
2024,2,20,20,18,0.0,49.0,999.0,999.0,999.0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.0,7.5,9.5,887.0,20
2024,3,1,1,19,0.0,3.0,76.819,76.387,75.915,0,0,0,0,0,0,0,0,1,0,0,0,0,25.5,1.0,1.0,1498.0,32
2024,3,2,2,1,25.0,58.0,76.731,76.189,76.185,0,0,1,0,0,0,0,0,0,0,1,1,1,7.5,9.0,10.0,27.0,7
2024,3,3,6,5,10.0,58.0,76.805,76.631,76.274,0,0,0,0,0,0,0,0,1,0,1,0,0,18.0,2.0,4.0,2211.0,40
2024,3,4,3,3,15.0,58.0,77.43,76.75,76.315,0,0,0,0,0,1,0,0,0,0,1,0,1,6.0,7.0,6.5,941.0,28
2024,3,5,4,2,19.0,58.0,76.984,76.304,76.435,0,0,1,0,0,0,0,0,0,0,1,0,1,14.0,3.5,2.0,284.0,10
2024,3,6,5,4,12.0,58.0,77.369,76.601,76.572,0,0,0,0,0,1,0,0,0,0,1,0,0,8.0,6.0,6.5,1893.0,36
2024,3,7,7,17,0.0,56.0,77.062,76.901,76.724,0,0,0,0,0,0,1,0,0,0,0,0,0,9.0,5.5,5.0,689.0,17
2024,3,8,8,7,6.0,58.0,77.356,76.791,76.788,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,14.5,10.0,2313.0,45
2024,3,9,9,6,8.0,58.0,77.376,76.78,77.072,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,14.5,11.0,906.0,25
2024,3,10,10,8,4.0,58.0,76.991,76.71,77.552,0,1,0,0,0,0,0,0,0,0,1,0,0,6.0,7.0,5.0,610.0,14
2024,3,11,11,18,0.0,15.0,77.499,76.96,999.0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,8.0,8.5,1256.0,28
2024,3,12,12,11,0.0,57.0,77.13,77.167,999.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,13.0,12.5,0.0,0
