Year,RoundNumber,EventName,QualyPos,FullName,Q1,Q2,Q3,GridPosition,RacePos,Points,Laps,Team_Alpine,Team_Aston Martin,Team_Ferrari,Team_Haas F1 Team,Team_Kick Sauber,Team_McLaren,Team_Mercedes,Team_Racing Bulls,Team_Red Bull Racing,Team_Williams,FinishedRace,IsRaceWinner,IsPodium,IsStreetCircuit,RacePos_Last_1,RacePos_Last_2,RacePos_Last_3,driver_avg_points_last_3,driver_avg_finish_last_3,driver_avg_qualy_last_3,season_points,dnfs_season
2024,2,Saudi Arabian Grand Prix,5.0,Oscar Piastri,88.755,88.343,88.089,5.0,4.0,12.0,50.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8.0,20.0,20.0,2.0,12.0,9.0,4.0,0
2024,2,Saudi Arabian Grand Prix,6.0,Lando Norris,88.805,88.479,88.132,6.0,8.0,4.0,50.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.0,20.0,20.0,3.0,9.333333333333334,11.333333333333334,8.0,0
2024,2,Saudi Arabian Grand Prix,7.0,George Russell,88.749,88.448,88.316,7.0,6.0,8.0,50.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5.0,20.0,20.0,4.0,10.333333333333334,9.333333333333334,10.0,0
2024,2,Saudi Arabian Grand Prix,8.0,Lewis Hamilton,88.994,88.606,88.46,8.0,9.0,2.0,50.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.0,20.0,20.0,5.0,7.666666666666667,9.333333333333334,6.0,0
2024,2,Saudi Arabian Grand Prix,9.0,Yuki Tsunoda,88.988,88.564,88.547,9.0,15.0,0.0,49.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14.0,20.0,20.0,6.0,11.666666666666666,10.666666666666666,0.0,0
2024,2,Saudi Arabian Grand Prix,10.0,Lance Stroll,88.25,88.578,88.572,10.0,19.0,0.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.0,20.0,20.0,0.3333333333333333,11.0,14.666666666666666,1.0,0
2024,2,Saudi Arabian Grand Prix,11.0,Oliver Bearman,88.984,88.642,999.0,11.0,7.0,6.0,50.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20.0,20.0,20.0,13.0,8.5,5.5,0.0,0
2024,2,Saudi Arabian Grand Prix,12.0,Alexander Albon,89.107,88.98,999.0,12.0,11.0,0.0,50.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15.0,20.0,20.0,0.0,15.0,13.0,0.0,0
2024,2,Saudi Arabian Grand Prix,13.0,Kevin Magnussen,89.069,89.02,999.0,13.0,12.0,0.0,50.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12.0,20.0,20.0,3.3333333333333335,9.333333333333334,11.666666666666666,0.0,0
2024,2,Saudi Arabian Grand Prix,14.0,Daniel Ricciardo,89.065,89.025,999.0,14.0,16.0,0.0,49.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13.0,20.0,20.0,4.0,10.666666666666666,9.666666666666666,0.0,0
2024,2,Saudi Arabian Grand Prix,15.0,Nico Hulkenberg,89.055,999.0,999.0,15.0,10.0,1.0,50.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,16.0,20.0,20.0,8.666666666666666,12.333333333333334,9.666666666666666,0.0,0
2024,2,Saudi Arabian Grand Prix,16.0,Valtteri Bottas,89.179,999.0,999.0,16.0,17.0,0.0,49.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,19.0,20.0,20.0,6.0,13.0,13.666666666666666,0.0,0
2024,2,Saudi Arabian Grand Prix,17.0,Esteban Ocon,89.475,999.0,999.0,17.0,13.0,0.0,49.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,17.0,20.0,20.0,4.0,11.333333333333334,11.666666666666666,0.0,0
2024,2,Saudi Arabian Grand Prix,18.0,Pierre Gasly,89.479,999.0,999.0,18.0,20.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,20.0,20.0,2.0,13.0,14.0,0.0,0
2024,2,Saudi Arabian Grand Prix,19.0,Logan Sargeant,89.526,999.0,999.0,19.0,14.0,0.0,49.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20.0,20.0,20.0,4.666666666666667,11.0,11.333333333333334,0.0,0
2024,2,Saudi Arabian Grand Prix,20.0,Guanyu Zhou,999.0,999.0,999.0,20.0,18.0,0.0,49.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11.0,20.0,20.0,4.0,8.333333333333334,8.666666666666666,0.0,0
2024,3,Australian Grand Prix,1.0,Max Verstappen,76.819,76.387,75.915,1.0,19.0,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,20.0,10.333333333333334,6.0,5.0,51.0,0
2024,3,Australian Grand Prix,2.0,Carlos Sainz,76.731,76.189,76.185,2.0,1.0,25.0,58.0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,3.0,20.0,20.0,5.0,9.333333333333334,9.0,15.0,0
2024,3,Australian Grand Prix,3.0,Sergio Perez,76.805,76.631,76.274,6.0,5.0,10.0,58.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,2.0,20.0,10.0,8.666666666666666,8.666666666666666,36.0,0
2024,3,Australian Grand Prix,4.0,Lando Norris,77.43,76.75,76.315,3.0,3.0,15.0,58.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,8.0,6.0,20.0,1.3333333333333333,13.0,9.666666666666666,12.0,0
2024,3,Australian Grand Prix,5.0,Charles Leclerc,76.984,76.304,76.435,4.0,2.0,19.0,58.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3.0,4.0,20.0,10.333333333333334,5.666666666666667,6.0,28.0,0
2024,3,Australian Grand Prix,6.0,Oscar Piastri,77.369,76.601,76.572,5.0,4.0,12.0,58.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.0,8.0,20.0,12.666666666666666,5.0,7.0,16.0,0
2024,3,Australian Grand Prix,7.0,George Russell,77.062,76.901,76.724,7.0,17.0,0.0,56.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.0,5.0,20.0,6.0,8.0,9.333333333333334,18.0,0
2024,3,Australian Grand Prix,8.0,Yuki Tsunoda,77.356,76.791,76.788,8.0,7.0,6.0,58.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15.0,14.0,20.0,6.0,11.333333333333334,9.333333333333334,0.0,0
2024,3,Australian Grand Prix,9.0,Lance Stroll,77.376,76.78,77.072,9.0,6.0,8.0,58.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,19.0,10.0,20.0,0.0,16.333333333333332,14.333333333333334,1.0,1
2024,3,Australian Grand Prix,10.0,Fernando Alonso,76.991,76.71,77.552,10.0,8.0,4.0,58.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5.0,9.0,20.0,3.3333333333333335,11.333333333333334,11.666666666666666,12.0,0
2024,3,Australian Grand Prix,11.0,Lewis Hamilton,77.499,76.96,999.0,11.0,18.0,0.0,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,7.0,20.0,2.0,12.0,8.0,8.0,0
2024,3,Australian Grand Prix,12.0,Alexander Albon,77.13,77.167,999.0,12.0,11.0,0.0,57.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11.0,15.0,20.0,0.0,14.666666666666666,13.0,0.0,0
2024,3,Australian Grand Prix,13.0,Valtteri Bottas,77.543,77.34,999.0,13.0,14.0,0.0,57.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17.0,19.0,20.0,6.0,13.0,12.333333333333334,0.0,0
2024,3,Australian Grand Prix,14.0,Kevin Magnussen,77.709,77.427,999.0,14.0,10.0,1.0,57.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12.0,12.0,20.0,2.6666666666666665,12.0,13.333333333333334,0.0,0
2024,3,Australian Grand Prix,15.0,Esteban Ocon,77.617,77.697,999.0,15.0,16.0,0.0,57.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.0,17.0,20.0,5.333333333333333,10.666666666666666,11.0,0.0,0
2024,3,Australian Grand Prix,16.0,Nico Hulkenberg,77.976,999.0,999.0,16.0,9.0,2.0,58.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10.0,16.0,20.0,9.333333333333334,6.666666666666667,8.0,1.0,0
2024,3,Australian Grand Prix,17.0,Pierre Gasly,77.982,999.0,999.0,17.0,13.0,0.0,57.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,20.0,18.0,20.0,4.333333333333333,11.333333333333334,12.666666666666666,0.0,1
2024,3,Australian Grand Prix,18.0,Daniel Ricciardo,78.085,999.0,999.0,18.0,12.0,0.0,57.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,16.0,13.0,20.0,10.333333333333334,7.333333333333333,6.666666666666667,0.0,0
2024,3,Australian Grand Prix,19.0,Guanyu Zhou,78.188,999.0,999.0,19.0,15.0,0.0,57.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,18.0,11.0,20.0,6.0,9.666666666666666,10.333333333333334,0.0,0
2024,4,Japanese Grand Prix,1.0,Max Verstappen,88.866,88.74,88.197,1.0,1.0,26.0,53.0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,19.0,1.0,1.0,0.0,17.0,10.333333333333334,51.0,1
2024,4,Japanese Grand Prix,2.0,Sergio Perez,89.303,88.752,88.263,2.0,2.0,18.0,53.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5.0,2.0,2.0,7.333333333333333,7.333333333333333,8.666666666666666,46.0,0
2024,4,Japanese Grand Prix,3.0,Lando Norris,89.536,88.94,88.489,3.0,5.0,10.0,53.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.0,8.0,6.0,8.0,6.333333333333333,9.0,27.0,0
2024,4,Japanese Grand Prix,4.0,Carlos Sainz,89.513,89.099,88.682,4.0,3.0,15.0,53.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1.0,3.0,20.0,8.333333333333334,9.0,7.666666666666667,40.0,0
2024,4,Japanese Grand Prix,5.0,Fernando Alonso,89.254,89.082,88.686,5.0,6.0,8.0,53.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8.0,5.0,9.0,1.3333333333333333,12.0,14.333333333333334,16.0,0
2024,4,Japanese Grand Prix,6.0,Oscar Piastri,89.425,89.148,88.76,6.0,8.0,4.0,53.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.0,4.0,8.0,4.666666666666667,10.666666666666666,7.666666666666667,28.0,0
2024,4,Japanese Grand Prix,7.0,Lewis Hamilton,89.661,88.887,88.766,7.0,9.0,2.0,53.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18.0,9.0,7.0,7.666666666666667,9.0,8.0,8.0,1
2024,4,Japanese Grand Prix,8.0,Charles Leclerc,89.338,89.196,88.786,8.0,4.0,12.0,53.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,3.0,4.0,14.666666666666666,4.666666666666667,6.333333333333333,47.0,0
2024,4,Japanese Grand Prix,9.0,George Russell,89.799,89.14,89.008,9.0,7.0,6.0,53.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17.0,6.0,5.0,1.3333333333333333,13.666666666666666,10.666666666666666,18.0,1
